incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Medical,5,"Street 45, near the Industrial Zone",Unconscious person,None,1 person involved,4,1,2,4,3
Medical,4,"Street 301, near the Residential Area",Unconscious person,None,1 person involved,11,1,1,4,2
Crime,5,"Street 17, near the Highway",Public disturbance,None,Suspect and 1 witnesses,20,1,5,2,3
Accident,2,"Street 217, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,8,1,1,2,1
Accident,4,"Street 352, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,9,1,2,3,2
Other,3,"Street 7, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,1,1,1
Fire,4,"Street 416, near the Industrial Zone",Spreading to trees,Chemical smell,9 people evacuated,16,1,1,2,6
Medical,4,"Street 421, near the Forest",Unconscious person,None,1 person involved,20,1,1,4,2
Accident,3,"Street 1, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,0,2,3,1
Fire,4,"Street 448, near the Highway",Small kitchen fire,Explosion risk,1 people evacuated,8,1,1,2,6
Other,5,"Street 240, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,6,1,2,2,3
Medical,4,"Street 122, near the Highway",Unconscious person,None,1 person involved,16,0,1,4,2
Fire,3,"Street 85, near the Forest",Spreading to trees,Chemical smell,1 people evacuated,10,1,1,1,5
Medical,5,"Street 283, near the Highway",Cardiac arrest,None,1 person involved,13,0,2,4,3
Medical,2,"Street 282, near the Industrial Zone",Unconscious person,None,1 person involved,9,0,0,3,1
Fire,5,"Street 138, near the Residential Area",Spreading to trees,Chemical smell,2 people evacuated,2,1,2,2,7
Other,1,"Street 129, near the Forest",General emergency reported,Unknown,Multiple bystanders,11,1,0,0,0
Fire,1,"Street 175, near the Forest",Building engulfed,Explosion risk,2 people evacuated,4,1,0,0,4
Fire,3,"Street 373, near the Residential Area",Spreading to trees,Explosion risk,7 people evacuated,3,1,1,1,5
Crime,1,"Street 226, near the Highway",Break-in,Aggressive behavior,Suspect and 1 witnesses,21,0,3,0,0
Other,2,"Street 381, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,0,0,1,1
Fire,2,"Street 1, near the City Center",Spreading to trees,Thick smoke,3 people evacuated,21,0,0,1,5
Fire,1,"Street 355, near the Residential Area",Building engulfed,Chemical smell,7 people evacuated,6,0,0,0,4
Fire,5,"Street 476, near the Highway",Building engulfed,Explosion risk,8 people evacuated,22,1,2,2,7
Other,5,"Street 373, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,0,2,2,3
Crime,2,"Street 29, near the Forest",Public disturbance,None,Suspect and 1 witnesses,1,1,3,1,1
Accident,1,"Street 376, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,0
Accident,5,"Street 47, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,1,3,4,3
Medical,1,"Street 125, near the Forest",Allergic reaction,None,1 person involved,7,0,0,2,0
Accident,4,"Street 483, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,17,1,2,3,2
Fire,5,"Street 85, near the Industrial Zone",Small kitchen fire,Chemical smell,2 people evacuated,4,1,2,2,7
Accident,2,"Street 279, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,1
Fire,1,"Street 295, near the Residential Area",Building engulfed,Chemical smell,9 people evacuated,0,0,0,0,4
Crime,4,"Street 226, near the City Center",Public disturbance,None,Suspect and 2 witnesses,22,0,4,2,2
Accident,3,"Street 62, near the City Center",General emergency reported,Unknown,Multiple bystanders,2,0,2,3,1
Other,4,"Street 37, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,2
Medical,4,"Street 483, near the Highway",Unconscious person,None,1 person involved,23,1,1,4,2
Fire,1,"Street 367, near the City Center",Building engulfed,Chemical smell,3 people evacuated,12,0,0,0,4
Other,4,"Street 342, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,1,1,2,2
Other,2,"Street 438, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,6,1,0,1,1
Other,3,"Street 30, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,1,1,1,1
Other,1,"Street 260, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,1,0,0,0
Other,2,"Street 256, near the City Center",General emergency reported,Unknown,Multiple bystanders,17,1,0,1,1
Crime,4,"Street 182, near the Highway",Break-in,Aggressive behavior,Suspect and 2 witnesses,10,0,4,2,2
Accident,1,"Street 137, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,0,1,2,0
Medical,2,"Street 40, near the Highway",Allergic reaction,None,1 person involved,0,0,0,3,1
Medical,2,"Street 377, near the Highway",Allergic reaction,None,1 person involved,3,0,0,3,1
Accident,2,"Street 20, near the Highway",General emergency reported,Unknown,Multiple bystanders,0,1,1,2,1
Medical,5,"Street 491, near the City Center",Allergic reaction,None,1 person involved,13,1,2,4,3
Other,2,"Street 344, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,20,0,0,1,1
Accident,3,"Street 356, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,0,2,3,1
Fire,3,"Street 202, near the Residential Area",Small kitchen fire,Explosion risk,6 people evacuated,17,1,1,1,5
Accident,2,"Street 494, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,4,1,1,2,1
Accident,1,"Street 5, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,0,1,2,0
Fire,5,"Street 103, near the City Center",Small kitchen fire,Thick smoke,9 people evacuated,21,1,2,2,7
Crime,3,"Street 145, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 1 witnesses,0,1,4,1,1
Medical,4,"Street 2, near the Forest",Unconscious person,None,1 person involved,11,1,1,4,2
Fire,3,"Street 211, near the City Center",Spreading to trees,Thick smoke,1 people evacuated,19,0,1,1,5
Crime,3,"Street 63, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 2 witnesses,17,1,4,1,1
Other,2,"Street 350, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,0,0,1,1
Crime,1,"Street 474, near the Forest",Break-in,None,Suspect and 1 witnesses,19,0,3,0,0
Other,4,"Street 308, near the City Center",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,2
Other,3,"Street 172, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,1,1,1,1
Fire,5,"Street 102, near the City Center",Spreading to trees,Chemical smell,9 people evacuated,18,1,2,2,7
Crime,1,"Street 253, near the Residential Area",Public disturbance,Weapons sighted,Suspect and 2 witnesses,13,1,3,0,0
Other,1,"Street 307, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,0,0,0,0
Crime,1,"Street 19, near the Forest",Break-in,None,Suspect and 2 witnesses,14,0,3,0,0
Medical,4,"Street 70, near the Highway",Unconscious person,None,1 person involved,5,0,1,4,2
Other,3,"Street 204, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,0,1,1,1
Accident,2,"Street 194, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,1
Crime,1,"Street 248, near the Forest",Break-in,Aggressive behavior,Suspect and 1 witnesses,12,1,3,0,0
Fire,2,"Street 242, near the Residential Area",Spreading to trees,Explosion risk,7 people evacuated,16,0,0,1,5
Other,3,"Street 369, near the City Center",General emergency reported,Unknown,Multiple bystanders,18,0,1,1,1
Accident,2,"Street 21, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,1
Crime,3,"Street 220, near the Forest",Break-in,Weapons sighted,Suspect and 2 witnesses,18,0,4,1,1
Fire,3,"Street 497, near the City Center",Small kitchen fire,Chemical smell,9 people evacuated,6,0,1,1,5
Fire,5,"Street 92, near the Industrial Zone",Spreading to trees,Thick smoke,7 people evacuated,19,0,2,2,7
Other,5,"Street 264, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,0,2,2,3
Fire,5,"Street 445, near the Industrial Zone",Spreading to trees,Explosion risk,1 people evacuated,5,0,2,2,7
Fire,5,"Street 146, near the Forest",Building engulfed,Explosion risk,8 people evacuated,23,0,2,2,7
Fire,4,"Street 340, near the Forest",Building engulfed,Explosion risk,3 people evacuated,23,0,1,2,6
Accident,5,"Street 324, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,1,3,4,3
Other,3,"Street 439, near the Highway",General emergency reported,Unknown,Multiple bystanders,1,1,1,1,1
Accident,2,"Street 262, near the Highway",General emergency reported,Unknown,Multiple bystanders,11,1,1,2,1
Fire,4,"Street 441, near the Highway",Building engulfed,Explosion risk,4 people evacuated,2,1,1,2,6
Crime,2,"Street 305, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,11,0,3,1,1
Other,5,"Street 372, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,1,2,2,3
Fire,1,"Street 289, near the Highway",Small kitchen fire,Chemical smell,5 people evacuated,3,1,0,0,4
Accident,3,"Street 300, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,10,0,2,3,1
Other,4,"Street 344, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,2
Accident,3,"Street 7, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,0,2,3,1
Crime,5,"Street 401, near the City Center",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,6,0,5,2,3
Crime,1,"Street 248, near the Residential Area",Armed robbery in progress,None,Suspect and 2 witnesses,13,1,3,0,0
Accident,5,"Street 451, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,1,3,4,3
Fire,1,"Street 298, near the City Center",Building engulfed,Chemical smell,4 people evacuated,11,0,0,0,4
Other,5,"Street 469, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,10,1,2,2,3
Other,1,"Street 461, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,0,0,0,0
Accident,5,"Street 497, near the City Center",General emergency reported,Unknown,Multiple bystanders,5,0,3,4,3
Fire,2,"Street 63, near the Highway",Small kitchen fire,Thick smoke,1 people evacuated,17,0,0,1,5
Crime,3,"Street 394, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,2,0,4,1,1
Fire,4,"Street 153, near the City Center",Spreading to trees,Thick smoke,4 people evacuated,1,1,1,2,6
Crime,4,"Street 337, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,21,0,4,2,2
Fire,4,"Street 296, near the Residential Area",Small kitchen fire,Explosion risk,5 people evacuated,7,0,1,2,6
Crime,3,"Street 101, near the City Center",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,3,0,4,1,1
Accident,2,"Street 444, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,1
Medical,4,"Street 98, near the City Center",Unconscious person,None,1 person involved,4,0,1,4,2
Fire,3,"Street 400, near the Highway",Building engulfed,Explosion risk,7 people evacuated,4,1,1,1,5
Accident,3,"Street 402, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,17,1,2,3,1
Accident,5,"Street 444, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,0,3,4,3
Other,2,"Street 342, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,0,1,0,1,1
Other,1,"Street 471, near the Forest",General emergency reported,Unknown,Multiple bystanders,14,0,0,0,0
Fire,2,"Street 180, near the Residential Area",Spreading to trees,Chemical smell,9 people evacuated,4,1,0,1,5
Other,3,"Street 150, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,9,0,1,1,1
Other,4,"Street 204, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,0,1,2,2
Crime,5,"Street 398, near the Forest",Break-in,Weapons sighted,Suspect and 2 witnesses,5,0,5,2,3
Other,2,"Street 491, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,0,0,1,1
Other,5,"Street 417, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,1,2,2,3
Medical,5,"Street 181, near the Residential Area",Unconscious person,None,1 person involved,20,1,2,4,3
Other,4,"Street 136, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,1,1,2,2
Fire,5,"Street 251, near the Industrial Zone",Spreading to trees,Explosion risk,5 people evacuated,15,1,2,2,7
Medical,5,"Street 390, near the Forest",Unconscious person,None,1 person involved,21,1,2,4,3
Medical,1,"Street 116, near the Industrial Zone",Unconscious person,None,1 person involved,0,0,0,2,0
Crime,4,"Street 168, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,9,0,4,2,2
Crime,3,"Street 232, near the Highway",Armed robbery in progress,None,Suspect and 2 witnesses,1,1,4,1,1
Crime,4,"Street 236, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,16,1,4,2,2
Medical,5,"Street 218, near the Industrial Zone",Unconscious person,None,1 person involved,6,0,2,4,3
Other,2,"Street 138, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,8,0,0,1,1
Medical,1,"Street 465, near the Forest",Allergic reaction,None,1 person involved,14,1,0,2,0
Other,2,"Street 234, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,1,0,1,1
Other,1,"Street 413, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,0,0,0,0
Other,5,"Street 196, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,1,2,2,3
Accident,4,"Street 313, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,2,3,2
Fire,2,"Street 281, near the Residential Area",Small kitchen fire,Chemical smell,9 people evacuated,12,0,0,1,5
Fire,5,"Street 33, near the Residential Area",Small kitchen fire,Chemical smell,1 people evacuated,14,0,2,2,7
Medical,5,"Street 179, near the Highway",Unconscious person,None,1 person involved,7,0,2,4,3
Other,1,"Street 42, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,1,1,0,0,0
Fire,4,"Street 286, near the Highway",Small kitchen fire,Chemical smell,2 people evacuated,14,1,1,2,6
Crime,4,"Street 35, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,4,0,4,2,2
Crime,4,"Street 377, near the Forest",Break-in,Weapons sighted,Suspect and 1 witnesses,23,1,4,2,2
Accident,3,"Street 262, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,1
Crime,4,"Street 89, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,19,0,4,2,2
Fire,2,"Street 251, near the Industrial Zone",Spreading to trees,Explosion risk,1 people evacuated,20,1,0,1,5
Other,1,"Street 391, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,1,0,0,0
Accident,3,"Street 407, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,0,2,3,1
Medical,2,"Street 442, near the Highway",Unconscious person,None,1 person involved,18,1,0,3,1
Accident,2,"Street 175, near the City Center",General emergency reported,Unknown,Multiple bystanders,6,0,1,2,1
Medical,5,"Street 315, near the Forest",Cardiac arrest,None,1 person involved,16,0,2,4,3
Other,5,"Street 443, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,0,2,2,3
Accident,4,"Street 494, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,1,2,3,2
Accident,4,"Street 67, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,1,2,3,2
Other,5,"Street 330, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,21,1,2,2,3
Medical,2,"Street 116, near the Industrial Zone",Cardiac arrest,None,1 person involved,10,1,0,3,1
Accident,5,"Street 264, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,0,3,4,3
Fire,5,"Street 188, near the Industrial Zone",Small kitchen fire,Chemical smell,5 people evacuated,10,1,2,2,7
Other,4,"Street 329, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,19,1,1,2,2
Crime,1,"Street 359, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,4,1,3,0,0
Accident,2,"Street 72, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,0,1,2,1
Accident,1,"Street 446, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,0,1,2,0
Medical,4,"Street 366, near the Residential Area",Cardiac arrest,None,1 person involved,3,1,1,4,2
Accident,3,"Street 446, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,1,2,3,1
Medical,3,"Street 345, near the Forest",Cardiac arrest,None,1 person involved,2,0,1,3,1
Crime,1,"Street 141, near the Highway",Break-in,None,Suspect and 1 witnesses,15,1,3,0,0
Other,4,"Street 79, near the City Center",General emergency reported,Unknown,Multiple bystanders,7,1,1,2,2
Fire,1,"Street 89, near the Highway",Spreading to trees,Thick smoke,9 people evacuated,1,0,0,0,4
Fire,1,"Street 302, near the Forest",Spreading to trees,Thick smoke,8 people evacuated,20,1,0,0,4
Other,4,"Street 170, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,2
Accident,1,"Street 25, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,1,1,2,0
Accident,4,"Street 393, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,2
Crime,1,"Street 327, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 2 witnesses,3,1,3,0,0
Other,2,"Street 49, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,1,0,0,1,1
Accident,4,"Street 190, near the Forest",General emergency reported,Unknown,Multiple bystanders,11,0,2,3,2
Other,2,"Street 316, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,0,0,1,1
Medical,4,"Street 120, near the City Center",Allergic reaction,None,1 person involved,23,1,1,4,2
Accident,2,"Street 397, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,0,1,2,1
Other,1,"Street 86, near the Forest",General emergency reported,Unknown,Multiple bystanders,10,0,0,0,0
Crime,5,"Street 125, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,9,1,5,2,3
Other,5,"Street 4, near the City Center",General emergency reported,Unknown,Multiple bystanders,21,1,2,2,3
Accident,1,"Street 223, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,0
Medical,2,"Street 111, near the Residential Area",Cardiac arrest,None,1 person involved,22,1,0,3,1
Other,2,"Street 272, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,1,0,1,1
Medical,1,"Street 379, near the Residential Area",Unconscious person,None,1 person involved,5,1,0,2,0
Fire,4,"Street 252, near the Industrial Zone",Building engulfed,Chemical smell,2 people evacuated,6,1,1,2,6
Fire,3,"Street 239, near the Highway",Spreading to trees,Chemical smell,4 people evacuated,21,0,1,1,5
Medical,1,"Street 184, near the City Center",Allergic reaction,None,1 person involved,13,1,0,2,0
Accident,5,"Street 30, near the Forest",General emergency reported,Unknown,Multiple bystanders,11,1,3,4,3
Crime,5,"Street 332, near the City Center",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,7,0,5,2,3
Other,5,"Street 13, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,11,0,2,2,3
Other,2,"Street 24, near the Forest",General emergency reported,Unknown,Multiple bystanders,10,1,0,1,1
Accident,4,"Street 368, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,0,2,3,2
Accident,5,"Street 419, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,1,3,4,3
Fire,5,"Street 169, near the Residential Area",Building engulfed,Explosion risk,7 people evacuated,13,1,2,2,7
Accident,1,"Street 98, near the Highway",General emergency reported,Unknown,Multiple bystanders,9,0,1,2,0
Other,5,"Street 254, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,2,2,3
Other,1,"Street 140, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,21,0,0,0,0
Fire,3,"Street 495, near the Industrial Zone",Small kitchen fire,Thick smoke,6 people evacuated,17,0,1,1,5
Crime,4,"Street 471, near the Forest",Public disturbance,None,Suspect and 2 witnesses,11,0,4,2,2
Crime,4,"Street 292, near the Highway",Public disturbance,None,Suspect and 1 witnesses,13,0,4,2,2
Accident,2,"Street 176, near the City Center",General emergency reported,Unknown,Multiple bystanders,7,1,1,2,1
Accident,3,"Street 373, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,2,1,2,3,1
Fire,1,"Street 112, near the City Center",Spreading to trees,Explosion risk,5 people evacuated,12,1,0,0,4
Crime,2,"Street 435, near the Forest",Break-in,None,Suspect and 2 witnesses,3,0,3,1,1
Medical,1,"Street 498, near the Forest",Cardiac arrest,None,1 person involved,4,0,0,2,0
Accident,1,"Street 143, near the Highway",General emergency reported,Unknown,Multiple bystanders,23,0,1,2,0
Medical,3,"Street 135, near the Residential Area",Allergic reaction,None,1 person involved,21,0,1,3,1
Accident,3,"Street 161, near the City Center",General emergency reported,Unknown,Multiple bystanders,8,0,2,3,1
Other,3,"Street 154, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,1,1,1,1
Crime,3,"Street 369, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,17,1,4,1,1
Other,4,"Street 151, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,1,1,2,2
Medical,5,"Street 178, near the Forest",Unconscious person,None,1 person involved,5,1,2,4,3
Fire,2,"Street 2, near the City Center",Building engulfed,Explosion risk,5 people evacuated,22,1,0,1,5
Accident,3,"Street 346, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,1,2,3,1
Fire,3,"Street 180, near the City Center",Small kitchen fire,Explosion risk,7 people evacuated,0,0,1,1,5
Other,4,"Street 438, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,2
Other,2,"Street 215, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,1,0,1,1
Other,4,"Street 114, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,0,1,2,2
Crime,3,"Street 272, near the Highway",Break-in,None,Suspect and 1 witnesses,17,0,4,1,1
Crime,4,"Street 305, near the Forest",Break-in,None,Suspect and 1 witnesses,22,1,4,2,2
Accident,5,"Street 290, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,1,3,4,3
Medical,1,"Street 274, near the Industrial Zone",Allergic reaction,None,1 person involved,1,1,0,2,0
Other,3,"Street 410, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,1,1,1,1
Fire,2,"Street 46, near the Forest",Spreading to trees,Thick smoke,6 people evacuated,5,0,0,1,5
Other,1,"Street 173, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,0,0,0,0
Accident,2,"Street 360, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,1,1,2,1
Other,4,"Street 253, near the City Center",General emergency reported,Unknown,Multiple bystanders,12,0,1,2,2
Fire,4,"Street 175, near the Forest",Small kitchen fire,Chemical smell,8 people evacuated,8,1,1,2,6
Accident,2,"Street 117, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,12,0,1,2,1
Medical,3,"Street 206, near the Residential Area",Allergic reaction,None,1 person involved,21,1,1,3,1
Medical,5,"Street 373, near the Forest",Allergic reaction,None,1 person involved,23,0,2,4,3
Medical,2,"Street 92, near the City Center",Unconscious person,None,1 person involved,21,0,0,3,1
Medical,5,"Street 197, near the Highway",Allergic reaction,None,1 person involved,6,0,2,4,3
Fire,2,"Street 173, near the City Center",Spreading to trees,Chemical smell,8 people evacuated,13,0,0,1,5
Crime,4,"Street 394, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,19,0,4,2,2
Fire,3,"Street 223, near the Industrial Zone",Spreading to trees,Chemical smell,2 people evacuated,4,1,1,1,5
Crime,5,"Street 314, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 1 witnesses,3,0,5,2,3
Other,5,"Street 170, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,0,2,2,3
Accident,3,"Street 23, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,1,2,3,1
Medical,4,"Street 404, near the Highway",Allergic reaction,None,1 person involved,13,0,1,4,2
Accident,2,"Street 64, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,14,0,1,2,1
Other,2,"Street 466, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,18,0,0,1,1
Medical,4,"Street 287, near the Industrial Zone",Unconscious person,None,1 person involved,3,1,1,4,2
Medical,2,"Street 441, near the Highway",Allergic reaction,None,1 person involved,0,1,0,3,1
Fire,4,"Street 409, near the Forest",Small kitchen fire,Explosion risk,6 people evacuated,12,1,1,2,6
Crime,4,"Street 99, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,22,0,4,2,2
Other,2,"Street 307, near the City Center",General emergency reported,Unknown,Multiple bystanders,14,0,0,1,1
Other,5,"Street 453, near the City Center",General emergency reported,Unknown,Multiple bystanders,4,1,2,2,3
Accident,1,"Street 445, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,0
Crime,2,"Street 59, near the City Center",Break-in,Aggressive behavior,Suspect and 1 witnesses,13,1,3,1,1
Accident,1,"Street 96, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,1,1,2,0
Medical,3,"Street 37, near the Highway",Cardiac arrest,None,1 person involved,19,0,1,3,1
Fire,5,"Street 377, near the Industrial Zone",Small kitchen fire,Explosion risk,5 people evacuated,3,1,2,2,7
Accident,3,"Street 160, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,0,2,3,1
Other,3,"Street 278, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,1,1,1,1
Medical,1,"Street 95, near the Highway",Cardiac arrest,None,1 person involved,6,0,0,2,0
Medical,2,"Street 221, near the City Center",Allergic reaction,None,1 person involved,12,1,0,3,1
Fire,3,"Street 253, near the Highway",Spreading to trees,Thick smoke,9 people evacuated,15,0,1,1,5
Other,1,"Street 194, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,0,0,0,0
Fire,4,"Street 260, near the Highway",Spreading to trees,Explosion risk,5 people evacuated,14,1,1,2,6
Fire,1,"Street 489, near the Highway",Small kitchen fire,Explosion risk,4 people evacuated,16,0,0,0,4
Medical,2,"Street 234, near the City Center",Unconscious person,None,1 person involved,12,0,0,3,1
Crime,5,"Street 65, near the Forest",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,16,1,5,2,3
Medical,5,"Street 475, near the City Center",Unconscious person,None,1 person involved,23,0,2,4,3
Medical,3,"Street 18, near the City Center",Cardiac arrest,None,1 person involved,11,1,1,3,1
Accident,4,"Street 169, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,0,2,3,2
Other,5,"Street 436, near the City Center",General emergency reported,Unknown,Multiple bystanders,21,0,2,2,3
Crime,3,"Street 302, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,12,0,4,1,1
Accident,3,"Street 151, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,17,0,2,3,1
Crime,2,"Street 187, near the Residential Area",Break-in,None,Suspect and 2 witnesses,6,0,3,1,1
Medical,4,"Street 172, near the Industrial Zone",Unconscious person,None,1 person involved,18,0,1,4,2
Other,2,"Street 174, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,1,0,1,1
Medical,1,"Street 340, near the Residential Area",Cardiac arrest,None,1 person involved,1,0,0,2,0
Crime,3,"Street 323, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,16,1,4,1,1
Fire,5,"Street 214, near the Highway",Spreading to trees,Explosion risk,6 people evacuated,4,1,2,2,7
Crime,5,"Street 200, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,5,1,5,2,3
Crime,4,"Street 281, near the Residential Area",Break-in,Aggressive behavior,Suspect and 2 witnesses,18,0,4,2,2
Crime,2,"Street 476, near the Industrial Zone",Break-in,None,Suspect and 2 witnesses,19,0,3,1,1
Other,4,"Street 351, near the City Center",General emergency reported,Unknown,Multiple bystanders,16,1,1,2,2
